Module,Register Address,Register Name,Access,Reset Value,Bit Field,Field Name,Description,Notes
ubwc_enc_apb_reg_blk_v2,0x0000,VERSION,RO,Recommended:0x00020000,31:00:00,version,Version number,Recommended to increment from v1 to v2
ubwc_enc_apb_reg_blk_v2,0x0004,DATE,RO,Filled at implementation,31:00:00,date,Date code,Recommended to keep the current DATE register semantics
ubwc_enc_apb_reg_blk_v2,0x0008,CTRL,RW/W1P,0x00000000,0,cfg_commit,Commit the current configuration snapshot,Recommended as W1P; replaces the scattered cfg_vld pulses in v1
ubwc_enc_apb_reg_blk_v2,0x0008,CTRL,RW/W1P,0x00000000,1,arm_next_frame,Allow receiving the next input frame,Optional reserved bit for unified software control
ubwc_enc_apb_reg_blk_v2,0x0008,CTRL,RW/W1P,0x00000000,2,clr_status,Clear sticky status bits,Recommended as W1P
ubwc_enc_apb_reg_blk_v2,0x0008,CTRL,RW/W1P,0x00000000,3,soft_reset,Wrapper soft-reset request,Recommended as W1P or self-clearing
ubwc_enc_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,0,busy,Encoder wrapper busy status,Recommended to combine internal OTF/tile/AXI activity
ubwc_enc_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,1,idle,Encoder wrapper idle status,Recommended to be mutually exclusive with busy
ubwc_enc_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,2,frame_done_sticky,One-frame completion sticky flag,Can be cleared by the next commit or clr_status
ubwc_enc_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,3,enc_error_sticky,Encoder error sticky flag,Recommended to map i_enc_error
ubwc_enc_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,4,otf_overflow_sticky,OTF-to-tile overflow sticky flag,Recommended to map i_otf_to_tile_overflow
ubwc_enc_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,5,cfg_applied,Latest configuration has been sampled internally,Used to confirm that commit took effect
ubwc_enc_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,6,input_frame_seen,Input frame start has been observed,Helps software distinguish not-started from started
ubwc_enc_apb_reg_blk_v2,0x000C,STATUS,RO,dynamic,7,axi_busy,AXI writeback side busy status,Recommended to combine main-image and metadata write channels
ubwc_enc_apb_reg_blk_v2,0x0010,TILE_CFG0,RW,0x00000000,0,ubwc_en,UBWC encode enable,
ubwc_enc_apb_reg_blk_v2,0x0010,TILE_CFG0,RW,0x00000000,1,lvl1_bank_swizzle_en,Level-1 bank swizzle enable,
ubwc_enc_apb_reg_blk_v2,0x0010,TILE_CFG0,RW,0x00000000,2,lvl2_bank_swizzle_en,Level-2 bank swizzle enable,
ubwc_enc_apb_reg_blk_v2,0x0010,TILE_CFG0,RW,0x00000000,3,lvl3_bank_swizzle_en,Level-3 bank swizzle enable,
ubwc_enc_apb_reg_blk_v2,0x0010,TILE_CFG0,RW,0x00000000,8:04,highest_bank_bit,Highest bank bit configuration,
ubwc_enc_apb_reg_blk_v2,0x0010,TILE_CFG0,RW,0x00000000,9,bank_spread_en,Bank spread enable,
ubwc_enc_apb_reg_blk_v2,0x0010,TILE_CFG0,RW,0x00000000,10,four_line_format,4-line tile format enable,
ubwc_enc_apb_reg_blk_v2,0x0010,TILE_CFG0,RW,0x00000000,11,is_lossy_rgba_2_1_format,RGBA 2:1 lossy format select,
ubwc_enc_apb_reg_blk_v2,0x0010,TILE_CFG0,RW,0x00000000,22:12,pitch,Tile pitch configuration,Organized according to the current v1 effective width of 11 bits
ubwc_enc_apb_reg_blk_v2,0x0014,CI_CFG0,RW,0x00000000,0,input_type,Encoded CI input type,
ubwc_enc_apb_reg_blk_v2,0x0014,CI_CFG0,RW,0x00000000,3:01,alen,Encoded CI alen configuration,
ubwc_enc_apb_reg_blk_v2,0x0014,CI_CFG0,RW,0x00000000,8:04,format,Encoded CI format,
ubwc_enc_apb_reg_blk_v2,0x0014,CI_CFG0,RW,0x00000000,9,forced_pcm,Forced PCM mode,
ubwc_enc_apb_reg_blk_v2,0x0014,CI_CFG0,RW,0x00000000,10,sb,Encoded CI sideband,Organized assuming current SB_WIDTH=1; split further if SB_WIDTH increases
ubwc_enc_apb_reg_blk_v2,0x0014,CI_CFG0,RW,0x00000000,11,lossy,Encoded CI lossy enable,
ubwc_enc_apb_reg_blk_v2,0x0018,CI_CFG1,RW,0x00000000,2:00,ubwc_cfg_0,UBWC CI configuration 0,
ubwc_enc_apb_reg_blk_v2,0x0018,CI_CFG1,RW,0x00000000,5:03,ubwc_cfg_1,UBWC CI configuration 1,
ubwc_enc_apb_reg_blk_v2,0x0018,CI_CFG1,RW,0x00000000,9:06,ubwc_cfg_2,UBWC CI configuration 2,
